case_id,item_type,item_id,relevance,reviewer,notes
TXT001,text,CHUNK_0000001,3,project_seed,Source item used to construct this known-item smoke query
TXT002,text,CHUNK_0000005,3,automated_known_item_rule,Exact seeded source item
TXT003,text,CHUNK_0000007,3,automated_known_item_rule,Exact seeded source item
TXT004,text,CHUNK_0000010,3,automated_known_item_rule,Exact seeded source item
TXT005,text,CHUNK_0000012,3,project_seed,Source item used to construct this known-item smoke query
TXT006,text,CHUNK_0000016,3,automated_known_item_rule,Exact seeded source item
TXT007,text,CHUNK_0000038,3,project_seed,Source item used to construct this known-item smoke query
TXT008,text,CHUNK_0000047,3,automated_known_item_rule,Exact seeded source item
TXT009,text,CHUNK_0000055,3,automated_known_item_rule,Exact seeded source item
TXT010,text,CHUNK_0000067,3,project_seed,Source item used to construct this known-item smoke query
TXT011,text,CHUNK_0000071,3,project_seed,Source item used to construct this known-item smoke query
TXT012,text,CHUNK_0000086,3,project_seed,Source item used to construct this known-item smoke query
TXT013,text,CHUNK_0000088,3,automated_known_item_rule,Exact seeded source item
TXT014,text,CHUNK_0000110,3,project_seed,Source item used to construct this known-item smoke query
TXT015,text,CHUNK_0000115,3,automated_known_item_rule,Exact seeded source item
TXT016,text,CHUNK_0000134,3,automated_known_item_rule,Exact seeded source item
TXT017,text,CHUNK_0000168,3,automated_known_item_rule,Exact seeded source item
TXT018,text,CHUNK_0000172,3,automated_known_item_rule,Exact seeded source item
TXT019,text,CHUNK_0000173,3,automated_known_item_rule,Exact seeded source item
TXT020,text,CHUNK_0000174,3,project_seed,Source item used to construct this known-item smoke query
CTI001,image,PMC11152913:FI_Ref166069936,3,automated_known_item_rule,Exact seeded source item
CTI002,image,PMC11846617:f0001,3,automated_known_item_rule,Exact seeded source item
CTI003,image,PMC12050044:FIG1,3,automated_known_item_rule,Exact seeded source item
CTI004,image,PMC12932045:FI_Ref221194261,3,automated_known_item_rule,Exact seeded source item
CTI005,image,PMC12937817:biomolecules-16-00329-f002,3,automated_known_item_rule,Exact seeded source item
CTI006,image,PMC12938149:biomolecules-16-00267-f002,3,automated_known_item_rule,Exact seeded source item
CTI007,image,PMC12938262:bioengineering-13-00157-f003,3,automated_known_item_rule,Exact seeded source item
CTI008,image,PMC12938392:biomedicines-14-00295-f003,3,automated_known_item_rule,Exact seeded source item
CTI009,image,PMC12939061:cancers-18-00675-f0A2,3,automated_known_item_rule,Exact seeded source item
CTI010,image,PMC12939306:diagnostics-16-00605-f001,3,project_seed,Source image used to construct this known-item smoke query
CTI011,image,PMC12941730:jcm-15-01511-f002,3,automated_known_item_rule,Exact seeded source item
